LoanID,percentual_predict
7RYZGMKJIR,0.0404266315152882
JDL5RH07AM,0.018263325918321936
STAL716Y79,0.032619414646115
SO0KKJ3IQB,0.18499048803450527
T99CWTYDCP,0.1537393279258118
0SNHFWV4UP,0.10088160905440888
S6ITP6LGYS,0.04117025182158094
A6I7U12IRJ,0.06550424125945035
8W6KY50JU4,0.05322361926760431
THFQ08OLMU,0.08102631085725207
VI81XFM0S7,0.0548168274271983
56F813XLV8,0.22757373024960356
SMWQ2IEFPN,0.1941237243770252
E9CGQJWZM1,0.10029896075282943
V6X2GODW4A,0.0961461374957417
4UWLP42324,0.18920099359001888
YGBONX52FN,0.14834215882842003
D1Z5Y2HOYP,0.09394643630266152
BDUVSC986H,0.2619717623332807
43CWNSYZPX,0.010749817252276033
IQXQFY7E1C,0.3213028482993775
Y2ICTORNUE,0.04858819668803198
E9RM27SX4D,0.3096859084155423
648RHTZHS8,0.08066627152211683
IBBKGE8ENH,0.03764479734656948
G0KWRT5T7D,0.09090809504377603
RYX5BZGEM7,0.14314944760937656
LE908B0ZG6,0.09140580049020551
WBXRYDIBV4,0.10729997429741893
TVVB26KF36,0.47541149059943083
VN7TMGZAN0,0.07115549020036639
6P5HSOJXAE,0.025465244384620524
4UJCPQAT0X,0.10510561670068662
GAROX38ZNZ,0.21822293610997467
KJGOASOOBV,0.031102071713157528
4LDZM1N9RG,0.17281594498989655
61S3B6MRYQ,0.12924333846612343
MTNSXOM9TX,0.08527151294176975
X3ZVYKHANM,0.05212515244287646
ED1DBYG7EI,0.07128708288643122
UUJUVDW0QD,0.19015040731391403
DDO0ZR441U,0.4751799466725071
C116AUFM38,0.31392042002134746
51I4GX74RJ,0.16756127242158658
AJRQNYS3HY,0.09190031920100035
E9SGZ9QAIY,0.03440978269145317
8Z3SJHYQTJ,0.04653618337376499
V3DOTJZ5ZK,0.044475400342258116
TCO0AJISQQ,0.08839175991399907
6SCFGJQFMC,0.351700640519991
WD0O2XH9AB,0.15351611858984077
XPAAETM7S7,0.14019000984787613
2T842Y3QS9,0.23466575634384762
BPLYJN6P6G,0.13646651371083984
YVV74V8HWM,0.09323203013446787
B6NFCLTLX7,0.03405048493742637
IKJ2B3PUIY,0.1091197036772858
